"Nummer";"EAN";"Name";"Einkaufspreis 1";"Endkundenpreis";"Bestand Hauptlager"
"14534";"";"COZZO, Nata de coco mit Litsche Geschmack, 220 ml";;0.79;
"14535";"";"HANAMI, Garnelencracker mit Chilligeschmack, 60 g";;1.19;
"14536";"";"COCON, 6-er Pudding ALOGO (Aloevera Mango), 480 g";;1.99;
"14537";"";"COZZO, Nata de coco mit Original Geschmack, 220 ml";;0.79;
"14538";"";"DUA KELINCI, Kacang Telur Oven, 80g";;1.5;
"14539";"";"GARUDA, Erdn";;2.69;
"14540";"";"GARUDA, Erdn";;3.79;
"14541";"";"GARUDA, Atom Nuss Scharf, 250g";;1.99;
"14542";"";"MORISCA, Schichtkuchen mit Srikaya Geschmack, 365 g";;4.5;
"14543";"";"MONICA, Schichtkuche Original, 410g";;4.5;
"14544";"";"MONICA, Surabaya Schichtkuche, 365g";;4.5;
"14545";"";"MONICA, Schichtkuche mit Rosinen, 365g";;4.5;
"14546";"";"MONICA, Special Schichtkuche, 365g";;4.5;
"14547";"";"POOK, Toasted Coconut Chips Mango";;2.5;
"14548";"";"Taokaenoi, Tempura Seetang mit Scharfe Sesame 39gr";;1.99;
"14549";"";"Taokaenoi, Tempura Seetang mit Scharfe Geschmack 39gr";;1.99;
"14550";"";"Taokaenoi, Tempura Seetang mit Original Geschmack 39gr";;1.99;
"14552";"";"GOLDEN TURTLE, Chilli Crackers 115 gr";;1;
"14555";"";"ASIAN BOY, gebratene schalotte, 100g";;1.99;
"14556";"";"CAP RATU, Rinder-Abon (getrocknetes kleingemachtes Fleisch), 100g";;3.5;
"14557";"";"SMILING FISH, Gebratene Makarel mit Sojabohnen soße, 100g";;1.59;
"14558";"";"SMILING FISH, knusprige weiße Sardine, 50g";;1.49;
"14559";"";"TIGA RASA, gebackene Ikan Sitting, 70g";;2.99;
"14560";"";"ASIAN BOY, zerkleinerter gebratener Knoblauch";;1.99;
"14561";"";"BU TJITRO, Gudeg Jogja Original, 265g";;3.5;
"14562";"";"Bu TJITRO, Gudeg Jogja Scharf, 265g";;3.5;
"14563";"";"INDOMAS, Sayur Gudeg";;1.49;
